Year, average income
1950,7411.5414
1951,7607.9314
1952,7815.1656
1953,8069.2688
1954,8199.1233
1955,8515.5346
1956,8474.2716
1957,8563.2306
1958,8467.1034
1959,8944.4313
1960,9581.9408
1961,10076.2702
1962,10468.407
1963,10996.8313
1964,11752.8916
1965,11863.9067
1966,12042.4681
1967,12676.9449
1968,13593.9219
1969,14525.8785
1970,16358.0864
1971,16555.763
1972,17340.9556
1973,17785.6591
1974,18238.9093
1975,18852.8924
1976,18537.7677
1977,19324.4307
1978,19818.3925
1979,20023.1454
1980,20167.0606
1981,20633.0849
1982,20108.3366
1983,19436.9161
1984,19806.1698
1985,20075.3446
1986,20020.5722
1987,20907.2223
1988,21937.1442
1989,22474.5747
1990,24279.2126
1991,24000.4802
1992,23822.1945
1993,23883.7674
1994,24952.4711
1995,27132.3362
1996,29106.2537
1997,30575.0894
1998,31556.9477
1999,33619.181
2000,35410.5853
2001,35455.5243
2002,35604.5859
2003,36260.1997
2004,38459.18
2005,40060.0758
2006,40941.12
2007,42027.5603
2008,40597.782
2009,37493.4041
2010,36804.5226
2011,35151.979
2012,35363.5326
2013,34020.8753
2014,36353.9375
2015,36621.4581
2016,38007.4002
2017,40106.6691
2018,41714.7331
2019,43237.4222
